ダックスフント,胴が長く足が短いのが特徴。巣穴の中にいるアナグマを狩るためにこのような体になった。
柴犬,日本原産の日本犬。体が小さいものは「豆柴」と呼ばれるが、独立した種というわけではない。
パグ,鼻が短いのが特徴。骨格がしっかりしているため鳴き声は低い声になることが多い。
三毛猫,3色の短い毛を持つ日本猫。三毛猫のほとんどはメスで、オスは滅多に生まれない。
アメリカン・ショートヘア,好奇心旺盛で遊ぶのが大好きなので、人や犬などの同居人と仲良く暮らせため飼育しやすい。
ネザーランド・ドワーフ,オランダ原産のカイウサギ。なおピーターラビットのモチーフはこのウサギではない。
ハツカネズミ,実験動物として様々な改造をされているネズミ。ちなみにミッキーマウスは白ハツカネズミである。
サラブレッド,競走馬として品種改良されたウマ。1頭1頭に血統書があり、その体は非常にデリケート。
ロバ,ウマと比べて小型で気性が荒いものが多い。餌は少なくても大丈夫なため乾燥した土地などでも生活できる。
チワワ,世界で最も小さな犬。体は小さいが自分よりも大きい犬に対して怯えることなく立ち向かう。
ニホンアマガエル,日本の全域や東アジアに広く分布する。動いているものに反応するため動かない獲物は食べない。
ヌー,ウシカモシカとも呼ばれる。4月になると数万頭から数十万頭にもなる大規模な群れで大移動する。
トムソンガゼル,斜め後ろに伸びたツノが特徴。乾季になると数百頭にもなる群れを作るが、この群れは雨季になると分散する。
オカピ,コンゴにのみ生息する非常に珍しい動物。足にはシマウマのようなシマがあるがキリンの仲間である。
ティラノサウルス,6500万年前に絶滅した史上最強の肉食恐竜。鋭い歯にはステーキナイフのようなギザギザが付いている。
